what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.110.0.v20180828-1350,"org.eclipse.ui.edit.undo",1608116714342
executed,command,org.eclipse.ui,3.110.0.v20180828-1350,"org.eclipse.ui.edit.undo",1608116714848
executed,command,org.eclipse.jdt.ui,3.15.0.v20180829-2215,"org.eclipse.jdt.ui.edit.text.java.open.editor",1608116719542
executed,command,org.eclipse.ui,3.110.0.v20180828-1350,"org.eclipse.ui.edit.undo",1608116727807
deactivated,workbench,org.eclipse.ui.workbench,3.112.0.v20180906-1121,"",1608116846546
activated,workbench,org.eclipse.ui.workbench,3.112.0.v20180906-1121,"",1608116920952
deactivated,workbench,org.eclipse.ui.workbench,3.112.0.v20180906-1121,"",1608116921278
activated,workbench,org.eclipse.ui.workbench,3.112.0.v20180906-1121,"",1608116926587
executed,command,org.eclipse.ui,3.110.0.v20180828-1350,"org.eclipse.ui.edit.text.contentAssist.proposals",1608116931234
deactivated,workbench,org.eclipse.ui.workbench,3.112.0.v20180906-1121,"",1608116934338
activated,workbench,org.eclipse.ui.workbench,3.112.0.v20180906-1121,"",1608116937709
executed,command,org.eclipse.jdt.ui,3.15.0.v20180829-2215,"org.eclipse.jdt.ui.edit.text.java.goto.matching.bracket",1608116941799
deactivated,workbench,org.eclipse.ui.workbench,3.112.0.v20180906-1121,"",1608116943711
executed,command,org.eclipse.jdt.ui,3.15.0.v20180829-2215,"org.eclipse.jdt.ui.edit.text.java.show.outline",1608116943775
activated,workbench,org.eclipse.ui.workbench,3.112.0.v20180906-1121,"",1608116945598
deactivated,workbench,org.eclipse.ui.workbench,3.112.0.v20180906-1121,"",1608116946968
activated,workbench,org.eclipse.ui.workbench,3.112.0.v20180906-1121,"",1608116948968
opened,editor,org.eclipse.jdt.ui,3.15.0.v20180829-2215,"org.eclipse.jdt.ui.CompilationUnitEditor",1608116949192
activated,editor,org.eclipse.jdt.ui,3.15.0.v20180829-2215,"org.eclipse.jdt.ui.CompilationUnitEditor",1608116949225
executed,command,org.eclipse.ui.ide,3.14.100.v20180828-1350,"org.eclipse.ui.navigate.openResource",1608116949264
executed,command,org.eclipse.ui.workbench.texteditor,3.11.100.v20180824-1030,"org.eclipse.ui.edit.text.goto.wordNext",1608116952905
