what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.jst.jsf.core,1.8.2.v201808012022,"org.eclipse.jst.jsf.core",1606871360775
stopped,bundle,org.eclipse.jst.jsf.standard.tagsupport,1.5.1.v201803271721,"org.eclipse.jst.jsf.standard.tagsupport",1606871360778
stopped,bundle,org.eclipse.jst.pagedesigner.jsp.core,1.5.102.v201803271721,"org.eclipse.jst.pagedesigner.jsp.core",1606871360781
stopped,bundle,org.eclipse.jst.jsf.common,1.5.103.v201803271721,"org.eclipse.jst.jsf.common",1606871360785
stopped,bundle,org.eclipse.jst.jsp.ui,1.2.100.v201807252207,"org.eclipse.jst.jsp.ui",1606871360785
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.core,1.0.400.v201802222200,"org.eclipse.jst.ws.cxf.consumption.core",1606871360787
stopped,bundle,org.eclipse.jst.ws.cxf.creation.core,1.0.500.v201802222200,"org.eclipse.jst.ws.cxf.creation.core",1606871360789
stopped,bundle,org.eclipse.jst.ws.cxf.ui,1.0.301.v201802222200,"org.eclipse.jst.ws.cxf.ui",1606871360792
stopped,bundle,org.eclipse.jst.ws.cxf.core,1.1.301.v201802222200,"org.eclipse.jst.ws.cxf.core",1606871360792
stopped,bundle,org.eclipse.jst.ws.jaxb.core,1.0.200.v201802222200,"org.eclipse.jst.ws.jaxb.core",1606871360794
stopped,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.500.v201803011744,"org.eclipse.jst.ws.jaxws.ui",1606871360794
stopped,bundle,org.eclipse.jst.ws.jaxws.core,1.0.501.v201806042237,"org.eclipse.jst.ws.jaxws.core",1606871360794
stopped,bundle,org.eclipse.jst.ws.annotations.core,1.2.200.v201802222200,"org.eclipse.jst.ws.annotations.core",1606871360797
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.400.v201802222200,"org.eclipse.jst.ws.axis2.ui",1606871360797
stopped,bundle,org.eclipse.jst.ws.uddiregistry,1.0.600.v201802222200,"org.eclipse.jst.ws.uddiregistry",1606871360799
stopped,bundle,org.eclipse.jst.ws.ui,1.0.600.v201802222200,"org.eclipse.jst.ws.ui",1606871360799
stopped,bundle,org.jboss.tools.common.validation,3.8.4.v20170316-1803,"org.jboss.tools.common.validation",1606871360799
stopped,bundle,org.jboss.tools.common.el.core,3.8.4.v20170316-1803,"org.jboss.tools.common.el.core",1606871360803
stopped,bundle,org.jboss.tools.common.text.xml,3.8.4.v20170316-1803,"org.jboss.tools.common.text.xml",1606871360803
stopped,bundle,org.jboss.tools.common,3.8.4.v20170316-1803,"org.jboss.tools.common",1606871360803
stopped,bundle,org.eclipse.jdt.ui,3.15.0.v20180829-2215,"org.eclipse.jdt.ui",1606871360803
stopped,bundle,org.eclipse.cft.server.rse,1.0.1.v201805291812,"org.eclipse.cft.server.rse",1606871360805
stopped,bundle,org.eclipse.rse.files.ui,4.5.0.201808290101,"org.eclipse.rse.files.ui",1606871360806
stopped,bundle,org.eclipse.wst.dtd.ui,1.1.100.v201807090620,"org.eclipse.wst.dtd.ui",1606871360807
stopped,bundle,org.eclipse.wst.wsdl.ui,1.2.801.v201805181041,"org.eclipse.wst.wsdl.ui",1606871360810
stopped,bundle,org.eclipse.wst.wsi.ui,1.0.601.v201805181041,"org.eclipse.wst.wsi.ui",1606871360812
stopped,bundle,com.ibm.xwt.dde,1.1.401.v2019-09-12_1422,"com.ibm.xwt.dde",1606871360815
stopped,bundle,org.eclipse.wst.html.ui,1.1.100.v201807090620,"org.eclipse.wst.html.ui",1606871360819
stopped,bundle,org.eclipse.wst.css.ui,1.1.100.v201807090620,"org.eclipse.wst.css.ui",1606871360822
stopped,bundle,org.eclipse.wst.xsl.exslt.ui,1.1.0.v201802171654,"org.eclipse.wst.xsl.exslt.ui",1606871360824
stopped,bundle,org.eclipse.wst.xsl.ui,1.2.0.v201802171654,"org.eclipse.wst.xsl.ui",1606871360825
stopped,bundle,org.eclipse.wst.xml.xpath.ui,1.1.200.v201805022145,"org.eclipse.wst.xml.xpath.ui",1606871360827
stopped,bundle,org.eclipse.wst.xsd.ui,1.3.100.v201807090620,"org.eclipse.wst.xsd.ui",1606871360832
stopped,bundle,org.eclipse.wst.xsl.debug.ui,1.1.0.v201804302237,"org.eclipse.wst.xsl.debug.ui",1606871360835
stopped,bundle,org.eclipse.wst.xml.ui,1.2.100.v201807252207,"org.eclipse.wst.xml.ui",1606871360835
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911182011,"org.eclipse.wst.common.ui",1606871360835
stopped,bundle,org.eclipse.wst.json.bower.ui,1.0.100.v201807090620,"org.eclipse.wst.json.bower.ui",1606871360837
stopped,bundle,org.eclipse.wst.json.eslint.ui,1.0.100.v201807090620,"org.eclipse.wst.json.eslint.ui",1606871360839
stopped,bundle,org.eclipse.wst.json.jshint.ui,1.0.100.v201807090620,"org.eclipse.wst.json.jshint.ui",1606871360841
stopped,bundle,org.eclipse.wst.json.npm.ui,1.0.100.v201807090620,"org.eclipse.wst.json.npm.ui",1606871360843
stopped,bundle,org.eclipse.wst.json.ui,1.0.200.v201807090620,"org.eclipse.wst.json.ui",1606871360844
stopped,bundle,org.eclipse.wst.sse.ui,1.5.0.v201807252207,"org.eclipse.wst.sse.ui",1606871360844
stopped,bundle,org.eclipse.search,3.11.300.v20180822-1339,"org.eclipse.search",1606871360844
stopped,bundle,org.eclipse.datatools.enablement.sybase.asa.ui,1.2.101.201807022034,"org.eclipse.datatools.enablement.sybase.asa.ui",1606871360846
stopped,bundle,org.eclipse.datatools.enablement.sybase.ase.ui,1.2.101.201807022034,"org.eclipse.datatools.enablement.sybase.ase.ui",1606871360852
stopped,bundle,org.eclipse.datatools.sqltools.ddlgen.ui,1.2.101.201807022034,"org.eclipse.datatools.sqltools.ddlgen.ui",1606871360852
stopped,bundle,org.eclipse.datatools.connectivity.ui.dse,1.3.101.201807022034,"org.eclipse.datatools.connectivity.ui.dse",1606871360855
stopped,bundle,org.eclipse.ui.ide.application,1.3.0.v20180828-1350,"org.eclipse.ui.ide.application",1606871360855
stopped,bundle,org.eclipse.ui.navigator.resources,3.6.200.v20180828-0837,"org.eclipse.ui.navigator.resources",1606871360855
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.9.200.v20180828-0626,"org.eclipse.ltk.ui.refactoring",1606871360855
stopped,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1606871360855
stopped,bundle,org.eclipse.team.ui,3.8.200.v20180827-1338,"org.eclipse.team.ui",1606871360855
stopped,bundle,org.eclipse.compare,3.7.300.v20180827-1041,"org.eclipse.compare",1606871360855
