what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.11.100.v20180824-1030,"org.eclipse.ui.edit.text.goto.wordNext",1608078656910
executed,command,org.eclipse.ui.workbench.texteditor,3.11.100.v20180824-1030,"org.eclipse.ui.edit.text.goto.wordNext",1608078657060
executed,command,org.eclipse.ui.workbench.texteditor,3.11.100.v20180824-1030,"org.eclipse.ui.edit.text.goto.wordNext",1608078657210
executed,command,org.eclipse.ui.workbench.texteditor,3.11.100.v20180824-1030,"org.eclipse.ui.edit.text.goto.wordNext",1608078657401
deactivated,workbench,org.eclipse.ui.workbench,3.112.0.v20180906-1121,"",1608078662282
activated,workbench,org.eclipse.ui.workbench,3.112.0.v20180906-1121,"",1608078695341
deactivated,workbench,org.eclipse.ui.workbench,3.112.0.v20180906-1121,"",1608078704386
activated,workbench,org.eclipse.ui.workbench,3.112.0.v20180906-1121,"",1608078706608
executed,command,org.eclipse.ui.workbench.texteditor,3.11.100.v20180824-1030,"org.eclipse.ui.edit.text.goto.wordPrevious",1608078707335
deactivated,workbench,org.eclipse.ui.workbench,3.112.0.v20180906-1121,"",1608078709785
activated,workbench,org.eclipse.ui.workbench,3.112.0.v20180906-1121,"",1608078727945
executed,command,org.eclipse.ui,3.110.0.v20180828-1350,"org.eclipse.ui.edit.text.contentAssist.proposals",1608078730687
deactivated,workbench,org.eclipse.ui.workbench,3.112.0.v20180906-1121,"",1608078733411
activated,workbench,org.eclipse.ui.workbench,3.112.0.v20180906-1121,"",1608078735108
executed,command,org.eclipse.ui,3.110.0.v20180828-1350,"org.eclipse.ui.edit.text.contentAssist.proposals",1608078738095
executed,command,org.eclipse.ui,3.110.0.v20180828-1350,"org.eclipse.ui.edit.delete",1608078743528
deactivated,workbench,org.eclipse.ui.workbench,3.112.0.v20180906-1121,"",1608078743821
activated,workbench,org.eclipse.ui.workbench,3.112.0.v20180906-1121,"",1608078746782
executed,command,org.eclipse.ui,3.110.0.v20180828-1350,"org.eclipse.ui.edit.text.contentAssist.proposals",1608078753358
deactivated,workbench,org.eclipse.ui.workbench,3.112.0.v20180906-1121,"",1608078766247
activated,workbench,org.eclipse.ui.workbench,3.112.0.v20180906-1121,"",1608078769046
executed,command,org.eclipse.ui,3.110.0.v20180828-1350,"org.eclipse.ui.edit.text.contentAssist.proposals",1608078770499
executed,command,org.eclipse.ui.workbench.texteditor,3.11.100.v20180824-1030,"org.eclipse.ui.edit.text.select.lineEnd",1608078783201
executed,command,org.eclipse.ui.workbench.texteditor,3.11.100.v20180824-1030,"org.eclipse.ui.edit.text.select.lineEnd",1608078784284
executed,command,org.eclipse.ui.workbench.texteditor,3.11.100.v20180824-1030,"org.eclipse.ui.edit.text.select.lineEnd",1608078784594
executed,command,org.eclipse.ui.workbench.texteditor,3.11.100.v20180824-1030,"org.eclipse.ui.edit.text.select.lineStart",1608078785664
deactivated,workbench,org.eclipse.ui.workbench,3.112.0.v20180906-1121,"",1608078789659
started,bundle,com.ibm.jee.ejb.refactoring.core,1.0.3.v20190912_1541,"com.ibm.jee.ejb.refactoring.core",1608078794125
activated,workbench,org.eclipse.ui.workbench,3.112.0.v20180906-1121,"",1608078794510
executed,command,org.eclipse.jdt.ui,3.15.0.v20180829-2215,"org.eclipse.jdt.ui.edit.text.java.extract.local.variable",1608078794551
executed,command,org.eclipse.ui.workbench.texteditor,3.11.100.v20180824-1030,"org.eclipse.ui.edit.text.goto.wordNext",1608078796776
