what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.15.0.v20180829-2215,"org.eclipse.jdt.ui.CompilationUnitEditor",1606868256654
executed,command,org.eclipse.ui,3.110.0.v20180828-1350,"org.eclipse.ui.navigate.previousTab",1606868256708
activated,editor,org.eclipse.m2e.editor,1.9.1.20180912-1601,"org.eclipse.m2e.editor.MavenPomEditor",1606868257514
executed,command,org.eclipse.ui,3.110.0.v20180828-1350,"org.eclipse.ui.navigate.nextTab",1606868257625
executed,command,org.eclipse.ui,3.110.0.v20180828-1350,"org.eclipse.ui.file.save",1606868258775
activated,editor,org.eclipse.jdt.ui,3.15.0.v20180829-2215,"org.eclipse.jdt.ui.CompilationUnitEditor",1606868261564
executed,command,org.eclipse.ui,3.110.0.v20180828-1350,"org.eclipse.ui.navigate.previousTab",1606868261621
executed,command,org.eclipse.ui.workbench.texteditor,3.11.100.v20180824-1030,"org.eclipse.ui.edit.text.goto.lineStart",1606868303778
executed,command,org.eclipse.ui.workbench.texteditor,3.11.100.v20180824-1030,"org.eclipse.ui.edit.text.goto.lineStart",1606868303910
executed,command,org.eclipse.ui,3.110.0.v20180828-1350,"org.eclipse.ui.edit.delete",1606868304690
executed,command,org.eclipse.ui,3.110.0.v20180828-1350,"org.eclipse.ui.edit.delete",1606868322570
deactivated,workbench,org.eclipse.ui.workbench,3.112.0.v20180906-1121,"",1606868335841
activated,workbench,org.eclipse.ui.workbench,3.112.0.v20180906-1121,"",1606868337139
deactivated,workbench,org.eclipse.ui.workbench,3.112.0.v20180906-1121,"",1606868338167
activated,workbench,org.eclipse.ui.workbench,3.112.0.v20180906-1121,"",1606868347473
executed,command,org.eclipse.ui,3.110.0.v20180828-1350,"org.eclipse.ui.edit.text.contentAssist.proposals",1606868352280
error,log,,,"Internal error while reading topic extensions from remote server",1606868360157
started,bundle,org.eclipse.help.ui,4.1.200.v20180821-0700,"org.eclipse.help.ui",1606868360195
started,bundle,org.eclipse.ui.cheatsheets,3.5.300.v20180823-1505,"org.eclipse.ui.cheatsheets",1606868360611
opened,view,org.eclipse.help.ui,4.1.200.v20180821-0700,"org.eclipse.help.ui.HelpView",1606868360883
activated,view,org.eclipse.help.ui,4.1.200.v20180821-0700,"org.eclipse.help.ui.HelpView",1606868361039
error,log,,,"Internal error while reading TOC contents from remote server",1606868361481
no handler,command,org.eclipse.ui.ide,3.14.100.v20180828-1350,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1606868361894
activated,editor,org.eclipse.jdt.ui,3.15.0.v20180829-2215,"org.eclipse.jdt.ui.CompilationUnitEditor",1606868364930
closed,view,org.eclipse.help.ui,4.1.200.v20180821-0700,"org.eclipse.help.ui.HelpView",1606868365015
executed,command,org.eclipse.ui.ide,3.14.100.v20180828-1350,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1606868367868
executed,command,org.eclipse.ui,3.110.0.v20180828-1350,"org.eclipse.ui.edit.delete",1606868377490
executed,command,org.eclipse.ui,3.110.0.v20180828-1350,"org.eclipse.ui.edit.delete",1606868377662
executed,command,org.eclipse.ui,3.110.0.v20180828-1350,"org.eclipse.ui.edit.delete",1606868377811
executed,command,org.eclipse.ui,3.110.0.v20180828-1350,"org.eclipse.ui.edit.delete",1606868378238
deactivated,workbench,org.eclipse.ui.workbench,3.112.0.v20180906-1121,"",1606868381088
activated,workbench,org.eclipse.ui.workbench,3.112.0.v20180906-1121,"",1606868417893
executed,command,org.eclipse.ui,3.110.0.v20180828-1350,"org.eclipse.ui.edit.paste",1606868420832
executed,command,org.eclipse.ui.workbench.texteditor,3.11.100.v20180824-1030,"org.eclipse.ui.edit.text.select.wordPrevious",1606868431959
executed,command,org.eclipse.ui.workbench.texteditor,3.11.100.v20180824-1030,"org.eclipse.ui.edit.text.select.wordPrevious",1606868432105
executed,command,org.eclipse.ui.workbench.texteditor,3.11.100.v20180824-1030,"org.eclipse.ui.edit.text.select.wordPrevious",1606868432248
executed,command,org.eclipse.ui.workbench.texteditor,3.11.100.v20180824-1030,"org.eclipse.ui.edit.text.select.wordPrevious",1606868432585
executed,command,org.eclipse.ui,3.110.0.v20180828-1350,"org.eclipse.ui.edit.delete",1606868433150
executed,command,org.eclipse.ui.workbench.texteditor,3.11.100.v20180824-1030,"org.eclipse.ui.edit.text.goto.lineEnd",1606868434852
executed,command,org.eclipse.ui,3.110.0.v20180828-1350,"org.eclipse.ui.edit.delete",1606868435118
executed,command,org.eclipse.ui,3.110.0.v20180828-1350,"org.eclipse.ui.edit.text.contentAssist.proposals",1606868439534
executed,command,org.eclipse.ui.workbench.texteditor,3.11.100.v20180824-1030,"org.eclipse.ui.edit.text.select.wordPrevious",1606868440717
executed,command,org.eclipse.ui.workbench.texteditor,3.11.100.v20180824-1030,"org.eclipse.ui.edit.text.select.wordPrevious",1606868441096
executed,command,org.eclipse.ui.workbench.texteditor,3.11.100.v20180824-1030,"org.eclipse.ui.edit.text.select.wordPrevious",1606868441275
executed,command,org.eclipse.ui,3.110.0.v20180828-1350,"org.eclipse.ui.edit.text.contentAssist.proposals",1606868444069
executed,command,org.eclipse.ui.workbench.texteditor,3.11.100.v20180824-1030,"org.eclipse.ui.edit.text.goto.lineEnd",1606868445858
executed,command,org.eclipse.ui,3.110.0.v20180828-1350,"org.eclipse.ui.edit.delete",1606868446077
